Topic ID,SubDomain ID,Sub Domain,Domain,Domain ID,Courses,Topic,Courses
OS-07-05,OS-07,Virtual Machines ,Operating System,OS,,Portable virtualization; emulation vs. isolation,
OS-07-06,OS-07,Virtual Machines ,Operating System,OS,,Cost of virtualization,
OS-08-01,OS-08,Device Management,Operating System,OS,COMP 2604,Characteristics of serial and parallel devices,COMP 2604
OS-08-02,OS-08,Device Management,Operating System,OS,COMP 2604,Abstracting device differences,COMP 2604
OS-08-03,OS-08,Device Management,Operating System,OS,COMP 2604,Buffering strategies,COMP 2604
OS-08-04,OS-08,Device Management,Operating System,OS,COMP 2604,Direct memory access,COMP 2604
OS-08-05,OS-08,Device Management,Operating System,OS,COMP 2604,Recovery from failures,COMP 2604
OS-09-01,OS-09,File Systems ,Operating System,OS,COMP 2604,"Files: data, metadata, operations, organization, buffering, sequential, nonsequential",COMP 2604
OS-09-02,OS-09,File Systems ,Operating System,OS,COMP 2604,Directories: contents and structure,COMP 2604
OS-09-03,OS-09,File Systems ,Operating System,OS,COMP 2604,"File systems: partitioning, mount/unmount, virtual file systems",COMP 2604
OS-09-04,OS-09,File Systems ,Operating System,OS,COMP 2604,Standard implementation techniques,COMP 2604
OS-09-05,OS-09,File Systems ,Operating System,OS,COMP 2604,Memory-mapped files,COMP 2604
OS-09-06,OS-09,File Systems ,Operating System,OS,COMP 2604,Special-purpose file systems,COMP 2604
OS-09-07,OS-09,File Systems ,Operating System,OS,COMP 2604,"Naming, searching, access, backups",COMP 2604
OS-09-08,OS-09,File Systems ,Operating System,OS,,Journaling and log-structured file systems,
OS-10-01,OS-10,Real Time and Embedded Systems ,Operating System,OS,COMP 2604,Process and task scheduling,COMP 2604
OS-10-02,OS-10,Real Time and Embedded Systems ,Operating System,OS,,Memory/disk management requirements in a real-time environment,
OS-10-03,OS-10,Real Time and Embedded Systems ,Operating System,OS,,"Failures, risks, and recovery",
OS-10-04,OS-10,Real Time and Embedded Systems ,Operating System,OS,,Special concerns in real-time systems,
OS-11-01,OS-11,Fault Tolerance,Operating System,OS,,Fundamental concepts: reliable and available systems (cross-reference SF/Reliability through Redundancy),
OS-11-02,OS-11,Fault Tolerance,Operating System,OS,,Spatial and temporal redundancy (cross-reference SF/Reliability through Redundancy),
OS-11-03,OS-11,Fault Tolerance,Operating System,OS,,Methods used to implement fault tolerance,
OS-11-04,OS-11,Fault Tolerance,Operating System,OS,,"Examples of OS mechanisms for detection, recovery, restart to implement fault tolerance, use of these ",
OS-12-01,OS-12,System Performance Evaluation,Operating System,OS,,Why system performance needs to be evaluated (cross-reference SF/Performance/Figures of performance ,
OS-12-02,OS-12,System Performance Evaluation,Operating System,OS,,What is to be evaluated (cross-reference SF/Performance/Figures of performance merit),
OS-12-03,OS-12,System Performance Evaluation,Operating System,OS,,"Systems performance policies, e.g., caching, paging, scheduling, memory management, and security",
OS-12-04,OS-12,System Performance Evaluation,Operating System,OS,,"Evaluation models: deterministic, analytic, simulation, or implementation-specific",
OS-12-05,OS-12,System Performance Evaluation,Operating System,OS,,How to collect evaluation data (profiling and tracing mechanisms),
PBD-01-01,PBD-01,Introduction ,Parallel and Distributed Computing,PBD,,"Overview of platforms (e.g., Web, Mobile, Game,Industrial) ",
PBD-01-02,PBD-01,Introduction ,Parallel and Distributed Computing,PBD,,Programming via platform-specific APIs,
PBD-01-03,PBD-01,Introduction ,Parallel and Distributed Computing,PBD,,"Overview of Platform Languages (e.g., Objective C, HTML5) ",
PBD-01-04,PBD-01,Introduction ,Parallel and Distributed Computing,PBD,,Programming under platform constraints,
PBD-02-01,PBD-02,Web Platforms,Parallel and Distributed Computing,PBD,INFO 2602,"Web programming languages (e.g., HTML5, Java Script, PHP, CSS) ",INFO 2602
PBD-02-02,PBD-02,Web Platforms,Parallel and Distributed Computing,PBD,INFO 2602,Web platform constraints ,INFO 2602
PBD-02-03,PBD-02,Web Platforms,Parallel and Distributed Computing,PBD,,Software as a Service (SaaS),
PBD-02-04,PBD-02,Web Platforms,Parallel and Distributed Computing,PBD,INFO 2602,Web standards,INFO 2602
PBD-03-01,PBD-03,Mobile Platforms ,Parallel and Distributed Computing,PBD,,Mobile programming languages ,
PBD-03-02,PBD-03,Mobile Platforms ,Parallel and Distributed Computing,PBD,,Challenges with mobility and wireless communication,
PBD-03-03,PBD-03,Mobile Platforms ,Parallel and Distributed Computing,PBD,,Location-aware applications,
PBD-03-04,PBD-03,Mobile Platforms ,Parallel and Distributed Computing,PBD,,Performance / power tradeoffs,
PBD-03-05,PBD-03,Mobile Platforms ,Parallel and Distributed Computing,PBD,,Mobile platform constraints,
PBD-03-06,PBD-03,Mobile Platforms ,Parallel and Distributed Computing,PBD,,Emerging technologies,
PBD-04-01,PBD-04,Industrial Platforms ,Parallel and Distributed Computing,PBD,,"Types of Industrial Platforms (e.g., Mathematic, Robotic, Industrial Control) ",
PBD-04-02,PBD-04,Industrial Platforms ,Parallel and Distributed Computing,PBD,,Robotic software and its architecture,
PBD-04-03,PBD-04,Industrial Platforms ,Parallel and Distributed Computing,PBD,,Domain-specific languages,
PBD-04-04,PBD-04,Industrial Platforms ,Parallel and Distributed Computing,PBD,,Industrial platform constraints,
PBD-05-01,PBD-05,Game Platforms ,Parallel and Distributed Computing,PBD,,"Types of game platforms (e.g., XBox, Wii, PlayStation) ",
PBD-05-02,PBD-05,Game Platforms ,Parallel and Distributed Computing,PBD,,"Game platform languages (e.g., C++, Java, Lua, Python)",
PBD-05-03,PBD-05,Game Platforms ,Parallel and Distributed Computing,PBD,,Game platform constraints,
PD-01-01,PD-01,Parallelism Fundamentals ,Platform-based Development,PD,INFO 1601,Multiple simultaneous computations,INFO 1601
PD-01-02,PD-01,Parallelism Fundamentals ,Platform-based Development,PD,INFO 1601,"Goals of parallelism (e.g., throughput) versus concurrency (e.g., controlling access to shared resources)",INFO 1601
PD-01-03,PD-01,Parallelism Fundamentals ,Platform-based Development,PD,INFO 1601,"Parallelism, communication, and coordination ",INFO 1601
PD-01-04,PD-01,Parallelism Fundamentals ,Platform-based Development,PD,,Programming errors not found in sequential programming,
PD-02-01,PD-02,Parallel Decomposition ,Platform-based Development,PD,,Need for communication and coordination/synchronization,
PD-02-02,PD-02,Parallel Decomposition ,Platform-based Development,PD,,Independence and partitioning,
PD-02-03,PD-02,Parallel Decomposition ,Platform-based Development,PD,,Basic knowledge of parallel decomposition concepts (cross-reference SF/System Support for Parallelism) ,
PD-02-04,PD-02,Parallel Decomposition ,Platform-based Development,PD,,Task-based decomposition,
PD-02-05,PD-02,Parallel Decomposition ,Platform-based Development,PD,,Data-parallel decomposition,
PD-02-06,PD-02,Parallel Decomposition ,Platform-based Development,PD,,"Actors and reactive processes (e.g., request handlers) ",
PD-03-01,PD-03,Communication and Coordination ,Platform-based Development,PD,,Shared Memory ,
PD-03-02,PD-03,Communication and Coordination ,Platform-based Development,PD,," C onsistency, and its role in programming language guarantees for data-race-free programs ",
PD-03-03,PD-03,Communication and Coordination ,Platform-based Development,PD,,Message passing,
PD-03-04,PD-03,Communication and Coordination ,Platform-based Development,PD,,Atomicity,
PD-03-05,PD-03,Communication and Coordination ,Platform-based Development,PD,,Consensus,
PD-03-06,PD-03,Communication and Coordination ,Platform-based Development,PD,,Conditional actions,
PD-04-01,PD-04,"Parallel Algorithms, Analysis, and Programming ",Platform-based Development,PD,,"Critical paths, work and span, and the relation to Amdahl’s law (cross-reference SF/Performance)",
PD-04-02,PD-04,"Parallel Algorithms, Analysis, and Programming ",Platform-based Development,PD,,Speed-up and scalability,
PD-04-03,PD-04,"Parallel Algorithms, Analysis, and Programming ",Platform-based Development,PD,,Naturally (embarrassingly) parallel algorithms,
PD-04-04,PD-04,"Parallel Algorithms, Analysis, and Programming ",Platform-based Development,PD,,"Parallel algorithmic patterns (divide-and-conquer, map and reduce, master-workers, others)",
PD-04-05,PD-04,"Parallel Algorithms, Analysis, and Programming ",Platform-based Development,PD,,"Parallel graph algorithms (e.g., parallel shortest path, parallel spanning tree) (cross-reference ",
PD-04-06,PD-04,"Parallel Algorithms, Analysis, and Programming ",Platform-based Development,PD,,Parallel matrix computations,
PD-04-07,PD-04,"Parallel Algorithms, Analysis, and Programming ",Platform-based Development,PD,,Producer-consumer and pipelined algorithms,
PD-04-08,PD-04,"Parallel Algorithms, Analysis, and Programming ",Platform-based Development,PD,,Examples of non-scalable parallel algorithms,
PD-05-01,PD-05,Parallel Architecture ,Platform-based Development,PD,,Multicore processors,
PD-05-02,PD-05,Parallel Architecture ,Platform-based Development,PD,,Shared vs. distributed memory,
PD-05-03,PD-05,Parallel Architecture ,Platform-based Development,PD,COMP 2601,Symmetric multiprocessing (SMP),COMP 2601
PD-05-04,PD-05,Parallel Architecture ,Platform-based Development,PD,COMP 2601,"SIMD, vector processing ",COMP 2601
PD-05-05,PD-05,Parallel Architecture ,Platform-based Development,PD,COMP 2601,"GPU, co-processing",COMP 2601
PD-05-06,PD-05,Parallel Architecture ,Platform-based Development,PD,COMP 2601,Flynn’s taxonomy,COMP 2601
PD-05-07,PD-05,Parallel Architecture ,Platform-based Development,PD,,Instruction level support for parallel programming,
PD-05-08,PD-05,Parallel Architecture ,Platform-based Development,PD,,Memory issues,
PD-05-09,PD-05,Parallel Architecture ,Platform-based Development,PD,,Topologies,
PD-06-01,PD-06,Parallel Performance ,Platform-based Development,PD,,Load balancing,
PD-06-02,PD-06,Parallel Performance ,Platform-based Development,PD,,Performance measurement,
PD-06-03,PD-06,Parallel Performance ,Platform-based Development,PD,,Scheduling and contention (cross-reference OS/Scheduling and Dispatch),
PD-06-04,PD-06,Parallel Performance ,Platform-based Development,PD,,Evaluating communication overhead,
PD-06-05,PD-06,Parallel Performance ,Platform-based Development,PD,,Data management,
PD-06-06,PD-06,Parallel Performance ,Platform-based Development,PD,,Power usage and management,
PD-07-01,PD-07,Distributed Systems ,Platform-based Development,PD,,Faults (cross-reference OS/Fault Tolerance),
PD-07-02,PD-07,Distributed Systems ,Platform-based Development,PD,,Distributed message sending,
PD-07-03,PD-07,Distributed Systems ,Platform-based Development,PD,,Distributed system design tradeoffs,
PD-07-04,PD-07,Distributed Systems ,Platform-based Development,PD,,Distributed service design,
PD-07-05,PD-07,Distributed Systems ,Platform-based Development,PD,,Core distributed algorithms,
PD-08-01,PD-08,Cloud Computing ,Platform-based Development,PD,COMP 3610,Internet-Scale computing,COMP 3610
PD-08-02,PD-08,Cloud Computing ,Platform-based Development,PD,COMP 3610,Cloud services,COMP 3610
PD-08-03,PD-08,Cloud Computing ,Platform-based Development,PD,COMP 3610,Virtualization (cross-reference SF/Virtualization and Isolation and OS/Virtual Machines),COMP 3610
PD-08-04,PD-08,Cloud Computing ,Platform-based Development,PD,COMP 3610,Cloud-based data storage,COMP 3610
PD-09-01,PD-09,Formal Models and Semantics ,Platform-based Development,PD,,"Formal models of processes and message passing, including algebras such as Communicating Sequential ",
PD-09-02,PD-09,Formal Models and Semantics ,Platform-based Development,PD,,"Formal models of parallel computation, including the Parallel Random Access Machine (PRAM) and ",
PD-09-03,PD-09,Formal Models and Semantics ,Platform-based Development,PD,,Formal models of computational dependencies,
PD-09-04,PD-09,Formal Models and Semantics ,Platform-based Development,PD,,Models of (relaxed) shared memory consistency and their relation to programming language specifications,
PD-09-05,PD-09,Formal Models and Semantics ,Platform-based Development,PD,,Algorithmic correctness criteria including linearizability,
PD-09-06,PD-09,Formal Models and Semantics ,Platform-based Development,PD,,"Models of algorithmic progress, including non-blocking guarantees and fairness",
PD-09-07,PD-09,Formal Models and Semantics ,Platform-based Development,PD,,Techniques for specifying and checking correctness properties such as atomicity and freedom from data ,
PL-01-01,PL-01,Object-Oriented Programming ,Programming Languages,PL,"COMP 2603,COMP 3607",Object-oriented design ,"COMP 2603,COMP 3607"
PL-01-02,PL-01,Object-Oriented Programming ,Programming Languages,PL,"COMP 2603,INFO 2602","Definition of classes: fields, methods, and constructors ","COMP 2603,INFO 2602"
PL-01-03,PL-01,Object-Oriented Programming ,Programming Languages,PL,"COMP 2603,COMP 3607","Subclasses, inheritance, and method overriding ","COMP 2603,COMP 3607"
PL-01-04,PL-01,Object-Oriented Programming ,Programming Languages,PL,COMP 2603,Dynamic dispatch: definition of method-call ,COMP 2603
PL-01-05,PL-01,Object-Oriented Programming ,Programming Languages,PL,COMP 2603,Subtyping (cross-reference PL/Type Systems),COMP 2603
PL-01-06,PL-01,Object-Oriented Programming ,Programming Languages,PL,COMP 2603,Object-oriented idioms for encapsulation ,COMP 2603
PL-01-07,PL-01,Object-Oriented Programming ,Programming Languages,PL,COMP 2603,"Using collection classes, iterators, and other common library components",COMP 2603
PL-02-01,PL-02,Functional Programming ,Programming Languages,PL,,Effect-free programming ,
PL-02-02,PL-02,Functional Programming ,Programming Languages,PL,,"Processing structured data (e.g., trees) via functions with cases for each data variant ",
PL-02-03,PL-02,Functional Programming ,Programming Languages,PL,,"First-class functions (taking, returning, and storing functions)",
PL-02-04,PL-02,Functional Programming ,Programming Languages,PL,,Function closures (functions using variables in the enclosing lexical environment),
PL-02-05,PL-02,Functional Programming ,Programming Languages,PL,,"Defining higher-order operations on aggregates, especially map, reduce/fold, and filter",
PL-03-01,PL-03,Event-Driven and Reactive Programming ,Programming Languages,PL,"COMP 2603,INFO 2602",Events and event handlers ,"COMP 2603,INFO 2602"
PL-03-02,PL-03,Event-Driven and Reactive Programming ,Programming Languages,PL,,"Canonical uses such as GUIs, mobile devices, robots, servers",
PL-03-03,PL-03,Event-Driven and Reactive Programming ,Programming Languages,PL,INFO 2602,Using a reactive framework,INFO 2602
PL-03-04,PL-03,Event-Driven and Reactive Programming ,Programming Languages,PL,,Externally-generated events and program-generated events,
PL-03-05,PL-03,Event-Driven and Reactive Programming ,Programming Languages,PL,"COMP 2603,INFO 2602","Separation of model, view, and controller","COMP 2603,INFO 2602"
PL-04-01,PL-04,Basic Type Systems ,Programming Languages,PL,INFO 1601,A type as a set of values together with a set of operations ,INFO 1601
PL-04-02,PL-04,Basic Type Systems ,Programming Languages,PL,INFO 1601,"Association of types to variables, arguments, results, and fields ",INFO 1601
PL-04-03,PL-04,Basic Type Systems ,Programming Languages,PL,"COMP 2603,COMP 3607,INFO 1601",Type safety and errors caused by using values inconsistently giventheir intended types,"COMP 2603,COMP 3607,INFO 1601"
PL-04-04,PL-04,Basic Type Systems ,Programming Languages,PL,"COMP 2603,COMP 3607,INFO 1601",Goals and limitations of static typing ,"COMP 2603,COMP 3607,INFO 1601"
PL-04-05,PL-04,Basic Type Systems ,Programming Languages,PL,COMP 3607,Generic types (parametric polymorphism),COMP 3607
PL-04-06,PL-04,Basic Type Systems ,Programming Languages,PL,,Complementary benefits of static and dynamic typing,
PL-05-01,PL-05,Program Representation ,Programming Languages,PL,,"Programs that take (other) programs as input such as interpreters, compilers, type-checkers, documentation ",
PL-05-02,PL-05,Program Representation ,Programming Languages,PL,,Abstract syntax trees; contrast with concrete syntax,
PL-05-03,PL-05,Program Representation ,Programming Languages,PL,,"Data structures to represent code for execution, translation, or transmission",
PL-06-01,PL-06,Language Translation and Execution ,Programming Languages,PL,,Interpretation vs. compilation to native code vs. compilation toportable intermediate representation,
PL-06-02,PL-06,Language Translation and Execution ,Programming Languages,PL,,"Language translation pipeline: parsing, optional type-checking, translation, linking, execution",
PL-06-03,PL-06,Language Translation and Execution ,Programming Languages,PL,,Run-time representation of core language constructs such as objects (method tables) and first-class ,
PL-06-04,PL-06,Language Translation and Execution ,Programming Languages,PL,,"Run-time layout of memory: call-stack, heap, static data",
PL-06-05,PL-06,Language Translation and Execution ,Programming Languages,PL,,Memory management,
PL-07-01,PL-07,Syntax Analysis ,Programming Languages,PL,,Scanning (lexical analysis) using regular expressions,
PL-07-02,PL-07,Syntax Analysis ,Programming Languages,PL,,"Parsing strategies including top-down (e.g., recursive descent, Earley parsing, or LL) and bottom-up (e.g., ",
PL-07-03,PL-07,Syntax Analysis ,Programming Languages,PL,,Generating scanners and parsers from declarative specifications,
PL-08-01,PL-08,Compiler Semantic Analysis ,Programming Languages,PL,,High-level program representations such as abstract syntax trees,
PL-08-02,PL-08,Compiler Semantic Analysis ,Programming Languages,PL,,Scope and binding resolution,
PL-08-03,PL-08,Compiler Semantic Analysis ,Programming Languages,PL,,Type checking,
PL-08-04,PL-08,Compiler Semantic Analysis ,Programming Languages,PL,,Declarative specifications such as attribute grammars,
PL-09-01,PL-09,Code Generation ,Programming Languages,PL,,Procedure calls and method dispatching,
PL-09-02,PL-09,Code Generation ,Programming Languages,PL,,Separate compilation; linking,
PL-09-03,PL-09,Code Generation ,Programming Languages,PL,,Instruction selection,
PL-09-04,PL-09,Code Generation ,Programming Languages,PL,,Instruction scheduling,
PL-09-05,PL-09,Code Generation ,Programming Languages,PL,,Register allocation,
PL-09-06,PL-09,Code Generation ,Programming Languages,PL,,Peephole optimization,
PL-10-01,PL-10,Runtime Systems,Programming Languages,PL,,"Dynamic memory management approaches and techniques: malloc/free, garbage collection (mark-sweep, ",
PL-10-02,PL-10,Runtime Systems,Programming Languages,PL,,Data layout for objects and activation records,
PL-10-03,PL-10,Runtime Systems,Programming Languages,PL,,Just-in-time compilation and dynamic recompilation,
PL-10-04,PL-10,Runtime Systems,Programming Languages,PL,,"Other common features of virtual machines, such as class loading, threads,and security.",
PL-11-01,PL-11,Static Analysis ,Programming Languages,PL,,"Relevant program representations, such as basic blocks, control-flow graphs, def-use chains,and static ",
PL-11-02,PL-11,Static Analysis ,Programming Languages,PL,,Undecidability and consequences for program analysis,
PL-11-03,PL-11,Static Analysis ,Programming Languages,PL,,"Flow-insensitive analyses, such as type-checking and scalable pointer and alias analyses",
PL-11-04,PL-11,Static Analysis ,Programming Languages,PL,,"Flow-sensitive analyses, such as forward and backward dataflow analyses",
PL-11-05,PL-11,Static Analysis ,Programming Languages,PL,,"Path-sensitive analyses, such as software model checking",
PL-11-06,PL-11,Static Analysis ,Programming Languages,PL,,Tools and frameworks for defining analyses,
PL-11-07,PL-11,Static Analysis ,Programming Languages,PL,,Role of static analysis in program optimization,
PL-11-08,PL-11,Static Analysis ,Programming Languages,PL,,Role of static analysis in (partial) verification and bug-finding,
PL-12-01,PL-12,Advanced Programming Constructs ,Programming Languages,PL,,Lazy evaluation and infinite streams,
PL-12-02,PL-12,Advanced Programming Constructs ,Programming Languages,PL,,"Control Abstractions: Exception Handling, Continuations, Monads",
PL-12-03,PL-12,Advanced Programming Constructs ,Programming Languages,PL,,"Object-oriented abstractions: Multiple inheritance, Mixins, Traits, Multimethods",
PL-12-04,PL-12,Advanced Programming Constructs ,Programming Languages,PL,,"Metaprogramming: Macros, Generative programming, Model-based development",
PL-12-05,PL-12,Advanced Programming Constructs ,Programming Languages,PL,,Module systems,
PL-12-06,PL-12,Advanced Programming Constructs ,Programming Languages,PL,,String manipulation via pattern-matching (regular expressions),
PL-12-07,PL-12,Advanced Programming Constructs ,Programming Languages,PL,,Dynamic code evaluation (“eval”),
PL-12-08,PL-12,Advanced Programming Constructs ,Programming Languages,PL,,"Language support for checking assertions, invariants, and pre/post-conditions",
PL-13-01,PL-13,Concurrency and Parallelism ,Programming Languages,PL,,Constructs for thread-shared variables and shared-memory synchronization,
PL-13-02,PL-13,Concurrency and Parallelism ,Programming Languages,PL,,Actor models,
PL-13-03,PL-13,Concurrency and Parallelism ,Programming Languages,PL,,Futures,
PL-13-04,PL-13,Concurrency and Parallelism ,Programming Languages,PL,,Language support for data parallelism,
PL-13-05,PL-13,Concurrency and Parallelism ,Programming Languages,PL,,Models for passing messages between sequential processes,
PL-13-06,PL-13,Concurrency and Parallelism ,Programming Languages,PL,,Effect of memory-consistency models on language semantics and correct code generation,
PL-14-01,PL-14,Type Systems ,Programming Languages,PL,,"Compositional type constructors, such as product types (for aggregates), sum types (for unions), function ",
PL-14-02,PL-14,Type Systems ,Programming Languages,PL,,Type checking,
PL-14-03,PL-14,Type Systems ,Programming Languages,PL,,Type safety as preservation plus progress,
PL-14-04,PL-14,Type Systems ,Programming Languages,PL,,Type inference,
PL-14-05,PL-14,Type Systems ,Programming Languages,PL,,Static overloading,
PL-15-01,PL-15,Formal Semantics ,Programming Languages,PL,,Syntax vs. semantics,
PL-15-02,PL-15,Formal Semantics ,Programming Languages,PL,,Lambda Calculus,
PL-15-03,PL-15,Formal Semantics ,Programming Languages,PL,,"Approaches to semantics: Operational, Denotational, Axiomatic",
PL-15-04,PL-15,Formal Semantics ,Programming Languages,PL,,Proofs by induction over language semantics,
PL-15-05,PL-15,Formal Semantics ,Programming Languages,PL,,Formal definitions and proofs for type systems(cross-reference PL/Type Systems),
PL-15-06,PL-15,Formal Semantics ,Programming Languages,PL,,Parametricity(cross-reference PL/Type Systems),
PL-15-07,PL-15,Formal Semantics ,Programming Languages,PL,,Using formal semantics for systems modeling,
PL-16-01,PL-16,Language Pragmatics ,Programming Languages,PL,,Principles of language design such as orthogonality,
PL-16-02,PL-16,Language Pragmatics ,Programming Languages,PL,,"Evaluation order, precedence, and associativity",
PL-16-03,PL-16,Language Pragmatics ,Programming Languages,PL,,Eager vs. delayed evaluation,
PL-16-04,PL-16,Language Pragmatics ,Programming Languages,PL,,Defining controland iteration constructs,
PL-16-05,PL-16,Language Pragmatics ,Programming Languages,PL,,External calls and system libraries,
PL-17-01,PL-17,Logic Programming ,Programming Languages,PL,,Clausal representation of data structures and algorithms,
PL-17-02,PL-17,Logic Programming ,Programming Languages,PL,,Unification,
PL-17-03,PL-17,Logic Programming ,Programming Languages,PL,,Backtracking and search,
PL-17-04,PL-17,Logic Programming ,Programming Languages,PL,,Cuts,
SP-01-01,SP-01,Social Context ,Social Issues and Professional Practice,SP,,Social implications of computing in a networked world (cross-reference HCI/Foundations/social models; ,
SP-01-02,SP-01,Social Context ,Social Issues and Professional Practice,SP,,"Impact of social media on individualism, collectivism and culture.",
SP-01-03,SP-01,Social Context ,Social Issues and Professional Practice,SP,,Growth and control of the Internet (cross-reference NC/Introduction/organization of the Internet),
SP-01-04,SP-01,Social Context ,Social Issues and Professional Practice,SP,,"Often referred to as the digital divide, differences in access to digital technology resources and its resulting ",
SP-01-05,SP-01,Social Context ,Social Issues and Professional Practice,SP,,"Accessibility issues, including legal requirements",
SP-01-06,SP-01,Social Context ,Social Issues and Professional Practice,SP,,Context-aware computing  (cross-reference HCI/Design for non-mouse interfaces/ ubiquitous and context-,
SP-02-01,SP-02,Analytical Tools ,Social Issues and Professional Practice,SP,,Ethical argumentation,
SP-02-02,SP-02,Analytical Tools ,Social Issues and Professional Practice,SP,,Ethical theories and decision-making,
SP-02-03,SP-02,Analytical Tools ,Social Issues and Professional Practice,SP,,Moral assumptions and values,
SP-03-01,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,Community values and the laws by which we live ,
SP-03-02,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,"The nature of professionalism including care, attention and discipline, fiduciary responsibility, and ",
SP-03-03,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,"Keeping up-to-date as a computing professional in terms of familiarity, tools, skills, legal and professional ",
SP-03-04,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,"Professional certification, codes of ethics, conduct, and practice, such as the ACM/IEEE-CS, SE, AITP, ",
SP-03-05,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,"Accountability, responsibility and liability (e.g. software correctness, reliability and safety, as well as ",
SP-03-06,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,The role of the computing professional in public policy,
SP-03-07,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,Maintaining awareness of consequences,
SP-03-08,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,Ethical dissent and whistle-blowing,
SP-03-09,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,The relationship between regional culture and ethicaldilemmas,
SP-03-10,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,Dealing with harassment and discrimination,
SP-03-11,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,Forms of professional credentialing ,
SP-03-12,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,Acceptable use policies for computing in the workplace,
SP-03-13,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,Ergonomics and healthy computing environments,
SP-03-14,SP-03,Professional Ethics,Social Issues and Professional Practice,SP,,Time to market and cost considerations versus quality professional standards,
SP-04-01,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,Philosophical foundations of intellectual property ,
SP-04-02,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,Intellectual property rights (cross-reference IM/Information Storage and Retrieval/intellectual property and ,
SP-04-03,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,Intangible digital intellectual property (IDIP),
SP-04-04,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,Legal foundations for intellectual property protection,
SP-04-05,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,Digital rights management,
SP-04-06,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,"Copyrights, patents, trade secrets, trademarks",
SP-04-07,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,Plagiarism,
SP-04-08,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,Foundations of the open source movement,
SP-04-09,SP-04,Intellectual Property ,Social Issues and Professional Practice,SP,,Software piracy,
SP-05-01,SP-05,Privacy and Civil Liberties ,Social Issues and Professional Practice,SP,,Philosophical foundations of privacy rights (cross-reference IS/Fundamental Issues/philosophical issues),
SP-05-02,SP-05,Privacy and Civil Liberties ,Social Issues and Professional Practice,SP,,Legal foundations of privacy protection ,
SP-05-03,SP-05,Privacy and Civil Liberties ,Social Issues and Professional Practice,SP,,"Privacy implications of widespread data collection for transactional databases, data warehouses, ",
SP-05-04,SP-05,Privacy and Civil Liberties ,Social Issues and Professional Practice,SP,,Ramifications of differential privacy ,
SP-05-05,SP-05,Privacy and Civil Liberties ,Social Issues and Professional Practice,SP,,Technology-based solutions for privacy protection (cross-reference IAS/Threats and Attacks/attacks on ,
SP-05-06,SP-05,Privacy and Civil Liberties ,Social Issues and Professional Practice,SP,,Privacy legislation in areas of practice,
SP-05-07,SP-05,Privacy and Civil Liberties ,Social Issues and Professional Practice,SP,,Civil liberties and cultural differences,
SP-05-08,SP-05,Privacy and Civil Liberties ,Social Issues and Professional Practice,SP,,Freedom of expression and its limitations ,
SP-06-01,SP-06,Professional Communication ,Social Issues and Professional Practice,SP,,"Reading, understanding and summarizing technical material, including source code and documentation",
SP-06-02,SP-06,Professional Communication ,Social Issues and Professional Practice,SP,,Writing effective technical documentation and materials,
SP-06-03,SP-06,Professional Communication ,Social Issues and Professional Practice,SP,,"Dynamics of oral, written, and electronic team and group communication (cross-reference ",
SP-06-04,SP-06,Professional Communication ,Social Issues and Professional Practice,SP,,Communicating professionally with stakeholders,
SP-06-05,SP-06,Professional Communication ,Social Issues and Professional Practice,SP,,Utilizing collaboration tools  (cross-reference HCI/Collaboration and Communication/online communities; ,
SP-06-06,SP-06,Professional Communication ,Social Issues and Professional Practice,SP,,Dealing with cross-cultural environments (cross-reference HCI/User-Centered Design and Testing/cross-,
SP-06-07,SP-06,Professional Communication ,Social Issues and Professional Practice,SP,,"Tradeoffs of competing risks in software projects, such as technology, structure/process, quality, people, ",
SP-07-01,SP-07,Sustainability ,Social Issues and Professional Practice,SP,,Being a sustainable practitioner by taking into consideration cultural and environmental impacts of ,
SP-07-02,SP-07,Sustainability ,Social Issues and Professional Practice,SP,,Explore global social and environmental impacts of computer use and disposal (e-waste),
SP-07-03,SP-07,Sustainability ,Social Issues and Professional Practice,SP,,"Environmental impacts of design choices in specific areas such as algorithms, operating systems, networks, ",
SP-07-04,SP-07,Sustainability ,Social Issues and Professional Practice,SP,,Guidelines for sustainable design standards,
